,Contracting Agency Name,Date Signed,Est. Ultimate Completion Date,Product or Service Description,Vendor Address State Name,National Interest Action,Action Obligation
0,ENVIRONMENTAL PROTECTION AGENCY,2018-01-24,2018-04-28,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,DELAWARE,HURRICANE MARIA 2017,25000.0
1,ENVIRONMENTAL PROTECTION AGENCY,2018-03-23,2018-06-15,NATURAL RESOURCES/CONSERVATION- OTHER,DELAWARE,HURRICANE MARIA 2017,1000000.0
2,DEPT OF THE ARMY,2017-10-20,2018-09-12,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,TEXAS,HURRICANE MARIA 2017,42839129.24
3,DEPT OF THE ARMY,2017-11-30,2018-09-12,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,TEXAS,HURRICANE MARIA 2017,14770345.24
4,DEPT OF THE ARMY,2017-12-07,2018-09-12,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,TEXAS,HURRICANE MARIA 2017,13728839.69
5,DEPT OF THE ARMY,2017-12-11,2018-09-12,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,TEXAS,HURRICANE MARIA 2017,12000.0
7,DEPT OF THE ARMY,2018-04-24,2018-09-12,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,TEXAS,HURRICANE MARIA 2017,7541580.64
8,ENVIRONMENTAL PROTECTION AGENCY,2018-04-05,2018-06-15,NATURAL RESOURCES/CONSERVATION- OTHER,DELAWARE,HURRICANE MARIA 2017,500000.0
9,ENVIRONMENTAL PROTECTION AGENCY,2018-03-07,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,726000.0
10,ENVIRONMENTAL PROTECTION AGENCY,2018-03-22,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,-525000.0
11,ENVIRONMENTAL PROTECTION AGENCY,2018-03-29,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,590000.0
12,ENVIRONMENTAL PROTECTION AGENCY,2017-12-06,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,400686.25
13,ENVIRONMENTAL PROTECTION AGENCY,2017-11-07,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,300000.0
14,ENVIRONMENTAL PROTECTION AGENCY,2017-11-16,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,17000.0
15,ENVIRONMENTAL PROTECTION AGENCY,2018-05-21,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,309000.0
16,ENVIRONMENTAL PROTECTION AGENCY,2018-06-11,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,50000.0
17,ENVIRONMENTAL PROTECTION AGENCY,2018-06-26,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,493000.0
18,ENVIRONMENTAL PROTECTION AGENCY,2018-02-14,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,10000.0
19,ENVIRONMENTAL PROTECTION AGENCY,2018-03-30,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,60000.0
20,ENVIRONMENTAL PROTECTION AGENCY,2017-11-08,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,110000.0
21,ENVIRONMENTAL PROTECTION AGENCY,2017-12-19,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,140000.0
22,ENVIRONMENTAL PROTECTION AGENCY,2018-04-13,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,70000.0
23,ENVIRONMENTAL PROTECTION AGENCY,2018-05-08,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,20000.0
24,ENVIRONMENTAL PROTECTION AGENCY,2018-05-21,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,11000.0
25,ENVIRONMENTAL PROTECTION AGENCY,2018-03-07,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,1250000.0
26,ENVIRONMENTAL PROTECTION AGENCY,2017-10-31,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,200000.0
27,ENVIRONMENTAL PROTECTION AGENCY,2017-11-07,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,1505000.0
28,ENVIRONMENTAL PROTECTION AGENCY,2017-12-07,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,3000.0
29,ENVIRONMENTAL PROTECTION AGENCY,2018-01-09,2018-06-30,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,PENNSYLVANIA,HURRICANE MARIA 2017,400000.0
