,irma_range,harvey_range,irene_range,maria_range,mentions_range,total_amount
0,low,low,low,low,low,0.0
1,low,low,low,low,low,0.0
2,low,low,low,low,low,0.0
3,low,low,low,low,low,0.0
4,low,low,low,low,low,0.0
5,low,low,low,low,low,0.0
6,low,low,low,low,low,0.0
7,low,low,low,low,low,0.0
8,low,low,low,low,low,0.0
9,low,low,low,low,low,0.0
10,low,low,low,low,low,0.0
11,low,low,low,low,low,0.0
12,low,low,low,low,low,0.0
13,low,low,low,low,low,0.0
14,low,low,low,low,low,0.0
15,low,low,low,low,low,0.0
16,low,low,low,low,low,0.0
17,low,low,low,low,low,0.0
18,low,low,low,low,low,0.0
19,low,low,low,low,low,0.0
20,low,low,low,low,low,0.0
21,low,low,low,low,low,0.0
22,low,low,low,low,low,0.0
23,low,low,low,low,low,0.0
24,low,low,low,low,low,0.0
25,low,low,low,low,low,0.0
26,low,low,low,low,low,0.0
27,low,low,low,low,low,0.0
28,low,low,low,low,low,0.0
29,low,low,low,low,low,0.0
30,low,low,low,low,low,0.0
31,low,low,low,low,low,0.0
32,low,low,low,low,low,0.0
33,low,low,low,low,low,0.0
34,low,low,low,low,low,0.0
35,low,low,low,low,low,0.0
36,low,low,low,low,low,0.0
37,low,low,low,low,low,0.0
38,low,low,low,low,low,0.0
39,low,low,low,low,low,0.0
40,low,low,low,low,low,0.0
41,low,low,low,low,low,546000.0
42,low,low,medium,low,low,534453.97
43,low,low,high,low,low,2375676.64
44,low,low,high,low,low,7443208.08
45,low,low,high,low,low,382289.9
46,low,low,high,low,low,267608.38
47,low,low,low,low,low,2661861.08
48,low,low,medium,low,low,8415160.47
49,low,low,medium,low,low,5874857.909999998
50,low,low,low,low,low,5273615.48
51,low,low,low,low,low,636000.0
52,low,low,low,low,low,75000.0
53,low,low,low,low,low,513024.63
54,low,low,low,low,low,1533180.95
55,low,low,low,low,low,422806.38
56,low,low,low,low,low,782422.3600000001
57,low,low,low,low,low,4737698.85
58,low,low,low,low,low,718443.8200000002
59,low,low,low,low,low,8704.0
60,low,low,low,low,low,2779085.25
61,low,low,low,low,low,5047395.58
62,low,low,low,low,low,119409.25
63,low,low,low,low,low,3794822.07
64,low,low,low,low,low,332770.97000000003
65,low,low,low,low,low,189070.65
66,low,low,low,low,low,724209.48
67,low,low,low,low,low,259156.84
68,low,low,low,low,low,570084.49
69,low,low,low,low,low,1414385.02
70,low,low,low,low,low,389395.57
71,low,low,low,low,low,1867371.18
72,low,low,low,low,low,126155.5
73,low,low,low,low,low,4856521.15
74,low,low,low,low,low,3440153.5699999994
75,low,low,low,low,low,2502584.0
76,low,low,low,low,low,2765244.49
77,low,low,low,low,low,3301832.6099999994
78,low,low,low,low,low,16084336.39
79,low,low,low,low,low,0.0
80,low,low,low,low,low,0.0
81,low,low,low,low,low,3500.0
82,low,low,low,low,low,90232.1
83,low,low,low,low,low,315.0
84,low,low,low,low,low,174238.39
85,low,low,low,low,low,121889.63
86,low,low,low,low,low,541512.0
87,low,low,low,low,low,823302.65
88,low,low,low,low,low,9500.0
89,low,low,low,low,low,29362.88
90,low,low,low,low,low,18400.0
91,low,low,low,low,low,4981970.96
92,low,low,low,low,low,216930.84
93,low,low,low,low,low,42213.6
94,low,low,low,low,low,953364.58
95,low,low,low,low,low,32450.0
96,low,low,low,low,low,188686.94
97,low,low,low,low,low,-12000.0
98,low,low,low,low,low,188730.4
99,low,low,low,low,low,41292.0
100,low,low,low,low,low,0.0
101,low,low,low,low,low,0.0
102,low,low,low,low,low,312315.16
103,low,low,low,low,low,17685.0
104,low,low,low,low,low,394470.31
105,low,low,low,low,low,30321.1
106,low,low,low,low,low,8030.76
107,low,low,low,low,low,300.0
108,low,low,low,low,low,144565.0
109,low,low,low,low,low,98028.18
110,low,low,low,low,low,140823.12
111,low,low,low,low,low,66905.0
112,low,low,low,low,low,659781.11
113,low,low,low,low,low,0.0
114,low,low,low,low,low,0.0
115,low,low,low,low,low,8800.0
116,low,low,low,low,low,142180.0
117,low,low,low,low,low,451765.18
118,low,low,low,low,low,1792590.76
119,low,low,low,low,low,0.0
120,low,low,low,low,low,17028.0
121,low,low,low,low,low,31320.0
122,low,low,low,low,low,166078.8
123,low,low,low,low,low,17624.260000000002
124,low,low,low,low,low,59806.0
125,low,low,low,low,low,1396247.2
126,low,low,low,low,low,2767506.97
127,low,low,low,low,low,19800.0
128,low,low,low,low,low,5704.0
129,low,low,low,low,low,-21408.840000000004
130,low,low,low,low,low,39494.21
131,low,low,low,low,low,127551.62
132,low,low,low,low,low,38414.5
133,low,low,low,low,low,0.0
134,low,low,low,low,low,1547.0
135,low,low,low,low,low,49011.03
136,low,low,low,low,low,87093.47
137,low,low,low,low,low,64867.0
138,low,low,low,low,low,104820.0
139,low,low,low,low,low,0.0
140,low,low,low,low,low,0.0
141,low,low,low,low,low,269669.92000000004
142,low,low,low,low,low,190229.12
143,low,low,low,low,low,119059.5
144,low,low,low,low,low,1133572.84
145,low,low,low,low,low,283586.12
146,low,low,low,low,low,57232.82000000001
147,low,low,low,low,low,0.0
148,low,low,low,low,low,69890.0
149,low,low,low,low,low,309392.68
150,low,low,low,low,low,9000.0
151,low,low,low,low,low,62906.3
152,low,low,low,low,low,373961.75
153,low,low,low,low,low,-1325.05
154,low,low,low,low,low,0.0
155,low,low,low,low,low,27000.0
156,low,low,low,low,low,101369.76
157,low,low,low,low,low,64672.42
158,low,low,low,low,low,2282285.84
159,low,low,low,low,low,81952.0
160,low,low,low,low,low,0.0
161,low,low,low,low,low,0.0
162,low,low,low,low,low,6947.01
163,low,low,low,low,low,22544.93
164,low,low,low,low,low,12320.0
165,low,low,low,low,low,6000.0
166,low,low,low,low,low,0.0
167,low,low,low,low,low,21220.0
168,low,low,low,low,low,64330.0
169,low,low,low,low,low,13111.64
170,low,low,low,low,low,1766.1
171,low,low,low,low,low,0.0
172,low,low,low,low,low,60000.0
173,low,low,low,low,low,5192.0
174,low,low,low,low,low,-6900.489999999998
175,low,low,low,low,low,423853.69
176,low,low,low,low,low,1043611.71
177,low,low,low,low,low,81956.6
178,low,low,low,low,low,23527.75
179,low,low,low,low,low,16744.04
180,low,low,low,low,low,129304.01
181,low,low,low,low,low,1100542.65
182,low,low,low,low,low,2956240.0
183,low,low,low,low,low,16143.7
184,low,low,low,low,low,-5441.98
185,low,low,low,low,low,15282734.12
186,low,low,low,low,low,-59155.21000000001
187,low,low,low,low,low,335414.76
188,low,low,low,low,low,89611.54000000002
189,low,low,low,low,low,-38181.74
190,low,low,low,low,low,241494.92
191,low,low,low,low,low,17028.0
192,low,low,low,low,low,16223.580000000016
