date,number of titles for irma,number of titles for harvey,number of titles for maria,number of titles for irene,number of summaries for irma,number of summaries for harvey,number of summaries for maria,number of summaries for irene
2011-08-26,0,0,0,6,0,0,0,2
2018-09-22,0,0,0,0,0,0,0,0
2011-12-31,0,0,0,0,6,4,4,12
2011-08-27,0,0,0,6,0,0,0,6
2018-06-04,0,0,0,0,0,10,12,0
2018-08-17,0,0,0,0,0,7,4,0
2011-07-03,0,0,0,0,0,0,0,1
2011-09-05,0,0,0,0,0,0,0,0
2018-07-07,0,0,0,0,0,0,7,0
2011-10-07,0,0,0,0,0,0,0,0
2018-09-06,0,0,0,0,0,0,0,0
2011-06-20,0,0,0,0,0,0,0,0
2018-10-27,0,0,0,0,0,4,0,0
2018-06-18,0,0,0,0,0,3,0,0
2018-09-11,0,0,10,0,20,20,30,0
2011-11-14,0,0,0,0,0,0,0,0
2011-09-13,0,0,0,0,0,0,0,2
2018-09-14,0,0,0,0,16,30,34,10
2011-12-12,0,0,0,0,0,0,0,0
2011-10-10,0,0,0,0,0,0,0,1
2011-09-01,0,0,0,2,0,0,0,8
2011-11-07,0,0,0,0,0,0,0,4
2011-12-28,0,0,0,0,0,0,0,0
2018-08-11,0,0,0,0,0,0,0,0
2018-06-27,0,0,0,0,0,0,4,0
2011-10-24,0,0,0,0,0,0,0,1
2018-10-14,0,0,0,0,2,0,0,0
2011-10-14,0,0,0,0,0,0,0,0
2018-06-22,0,0,0,0,0,15,0,0
2018-09-17,0,0,0,0,0,4,0,0
2018-07-28,0,0,0,0,0,0,0,0
2018-09-12,0,0,10,0,0,10,24,0
2018-10-11,0,0,0,0,22,16,20,0
2011-09-25,0,0,0,0,0,0,0,2
2011-07-08,0,0,0,0,0,0,0,0
2018-07-09,0,0,0,0,0,3,0,0
2011-07-12,0,0,0,0,0,0,0,1
2011-09-16,0,0,0,0,0,0,0,0
2018-07-20,0,0,0,0,0,6,6,0
2018-07-10,0,0,0,0,10,7,10,0
2018-10-16,0,10,0,0,10,12,14,0
2011-07-16,0,0,0,0,0,0,0,1
2018-07-05,0,0,0,0,0,6,3,0
2018-08-25,0,0,0,0,4,3,0,0
2011-09-03,0,0,0,0,0,0,0,2
2018-08-16,0,0,0,0,0,3,3,0
2018-08-13,0,0,0,0,0,0,9,0
2011-12-07,0,0,0,0,0,0,0,4
2018-06-29,0,0,0,0,0,3,8,0
2018-10-23,0,0,0,0,0,8,4,0
2011-12-09,0,0,0,0,0,0,0,4
2018-06-15,0,0,0,0,0,6,4,0
2018-07-29,0,0,0,0,1,3,3,0
2011-12-08,0,0,0,0,0,0,0,0
2018-09-24,0,0,0,0,2,12,12,0
2018-08-02,0,0,0,0,7,3,0,0
2018-10-17,0,0,0,0,4,0,8,0
2018-08-23,0,0,0,0,0,3,3,0
2018-10-08,0,4,0,0,0,14,4,0
2018-10-05,0,0,0,0,8,0,6,0
2018-08-10,0,0,0,0,0,3,0,0
2018-06-19,0,0,0,0,0,9,0,0
2018-06-13,0,0,0,0,0,7,11,0
2011-11-06,0,0,0,0,0,0,0,0
2018-10-07,0,0,0,0,0,0,4,0
2018-08-05,0,0,0,0,0,0,0,0
2011-10-20,0,0,0,0,0,0,0,0
2018-07-27,0,0,0,0,3,13,3,0
2018-08-24,0,0,0,0,0,3,3,0
2011-09-28,0,0,0,0,0,0,0,2
2011-12-22,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,2
2018-08-06,0,0,3,0,3,7,3,0
2018-07-31,0,0,0,0,0,6,0,0
2011-10-21,0,0,0,0,0,0,0,1
2018-08-14,0,0,0,0,1,1,0,0
2018-07-12,0,0,0,0,0,3,7,0
2018-06-05,0,0,0,0,0,3,4,0
2018-06-30,0,0,0,0,0,3,4,0
2011-12-24,0,0,0,0,0,0,0,0
2018-07-03,0,0,3,0,0,3,6,0
2011-08-23,0,0,0,2,0,0,0,0
2011-06-29,0,0,0,0,0,0,0,0
2011-12-30,0,0,0,0,0,0,0,0
2018-06-14,0,0,0,0,0,6,4,0
2018-08-18,0,0,0,0,1,3,0,0
2011-11-03,0,0,0,0,0,0,0,0
2018-10-26,0,0,0,0,0,0,0,0
2018-06-09,0,0,0,0,0,3,0,0
2018-10-30,0,0,0,0,0,0,4,0
2011-09-02,0,0,0,4,0,0,0,6
2018-08-07,0,0,4,0,7,6,22,0
2011-07-25,0,0,0,0,0,0,0,1
2011-11-13,0,0,0,0,0,0,0,2
2011-11-11,0,0,0,0,0,0,0,0
2011-08-28,0,0,0,20,2,0,2,8
2011-08-29,0,0,2,20,0,0,2,20
2018-07-21,0,0,0,0,0,3,3,0
2011-08-10,0,0,0,0,0,0,0,0
2018-10-10,0,0,0,0,40,10,10,0
2011-06-07,0,0,0,0,0,0,0,1
2018-09-19,0,10,0,0,0,10,20,0
2011-07-14,0,0,0,0,0,0,0,1
2018-07-17,0,3,3,0,3,6,3,0
2011-11-21,0,0,0,0,0,0,0,0
2011-09-23,0,0,0,0,0,0,0,2
2018-07-23,0,0,0,0,0,6,0,0
2011-12-02,0,0,0,0,0,0,0,0
2011-11-04,0,0,0,0,0,0,0,0
2011-12-19,0,0,0,0,0,0,0,0
2011-11-23,0,0,0,0,0,0,0,2
2011-07-11,0,0,0,0,0,0,0,0
2011-09-18,0,0,0,2,0,0,0,0
2011-10-12,0,0,0,0,0,0,0,0
2011-10-27,0,0,0,0,0,0,0,1
2011-10-18,0,0,0,0,0,0,0,1
2018-09-13,0,0,10,0,10,30,30,10
2018-10-09,0,0,0,0,0,0,0,0
2018-09-20,0,0,0,0,0,0,0,0
2011-12-17,0,0,0,0,0,0,0,2
2011-09-10,0,0,0,0,0,0,0,8
2011-10-17,0,0,0,0,0,0,0,3
2011-09-04,0,0,0,0,2,0,0,0
2018-07-11,0,0,0,0,1,0,0,0
2011-10-30,0,0,0,0,0,0,0,1
2011-07-09,0,0,0,0,0,0,0,0
2011-11-19,0,0,0,0,0,0,0,2
2011-11-08,0,0,0,0,0,0,0,4
2018-08-27,0,0,0,0,0,0,0,0
2018-06-23,0,0,0,0,0,0,12,0
2011-06-12,0,0,0,0,0,0,0,0
