search query,article date,article title,article summary
hurricane irma,2018-06-03T01:03:06+0000,"Puerto Rico: How Do We Know 3,000 People Died as a Result of Hurricane Maria?",A guide to understanding the official death estimates for Puerto Rico as a result of Hurricane Maria.
hurricane irma,2018-06-05T18:38:57+0000,Turning Our Backs on Puerto Rico,"The U.S. government “refused to provide the necessary assistance, and thousands died needlessly as a result,” a reader says."
hurricane irma,2018-06-03T23:45:07+0000,The Shame in Puerto Rico,"A new study points to a far higher death toll from Hurricane Maria, more evidence of the Trump administration’s neglect."
hurricane irma,2018-06-01T23:03:34+0000,"Just in Time for Hurricane Season, a New Leader at the Coast Guard’s Helm",Adm. Karl L. Schultz said the military service will hold steady in its growing role in homeland security priorities like immigration and disaster relief.
hurricane irma,2018-06-23T09:00:08+0000,"The Cheeca Lodge Is Back, Tiki Bar and All","Hurricane Irma severely damaged the long-running resort in the Florida Keys. Six months later, the redesigned property offers delicious dining, an inviting spa and a few hiccups."
hurricane irma,2018-06-27T09:00:16+0000,Tropical Forests Suffered Near-Record Tree Losses in 2017,New satellite data reveals that the world’s tropical forests lost roughly 39 million acres of trees last year — an area the size of Bangladesh. 
hurricane irma,2018-07-13T22:56:17+0000,FEMA Admits It Failed Puerto Rico. Can It Do Any Better? ,The agency’s disorganization and a lack of supplies and personnel contributed to the havoc.
hurricane irma,2018-07-12T22:23:24+0000,"FEMA Was Sorely Unprepared for Puerto Rico Hurricane, Report Says","When a killer storm came to Puerto Rico, FEMA’s warehouse on the island was nearly empty, with not a single tarpaulin or cot left in stock."
hurricane irma,2018-07-12T15:16:07+0000,Hurricane Maria Killed Our Loved Ones. We Want Closure.,"The 2017 hurricane killed 70 times more people in Puerto Rico than the official estimate. As relatives of unrecognized victims, how can we begin to heal?"
hurricane irma,2018-07-02T00:25:09+0000,"For Puerto Rican Evacuees, a Journey Without End","With a federal shelter-aid program expiring, a family displaced by Hurricane Maria moved over the weekend to a hotel run by New York City’s homeless-shelter system."
hurricane irma,2018-07-07T10:00:01+0000,Bomba: The Enduring Anthem of Puerto Rico,The resurgence of a traditional Afro-Puerto Rican musical genre owes something to formal experimentation. But some traditionalists fear that its roots are at risk.
hurricane irma,2018-07-12T22:07:41+0000,Samantha Bee on Her Emmy Nominations and the Changing Face of Late Night,Ms. Bee spoke about her special on Puerto Rico and about the aftermath of her use of a vulgar epithet to describe Ivanka Trump.
hurricane irma,2018-07-20T08:00:05+0000,Beauty and Bleakness: The Efforts to Conserve Coral Reefs,"As coral ecosystems face worldwide decline, Alexis Rosenfeld and Alexie Valois were set on chronicling their majesty and their plight — as well as efforts to restore them."
hurricane irma,2018-07-04T20:35:53+0000,"Henry Butler, Quintessential New Orleans Pianist, Is Dead at 69","His music was rooted, encyclopedic, precise and wild as he carried the two-fisted keyboard traditions of his native city to the brink of the avant-garde."
hurricane irma,2018-08-28T17:45:28+0000,"Nearly a Year After Hurricane Maria, Puerto Rico Revises Death Toll to 2,975","The official assessment of deaths related to Hurricane Maria in Puerto Rico has been raised to 2,975, after a new study found a 22 percent increase in deaths."
hurricane irma,2018-08-30T20:27:04+0000,"Government Can Stop Paying to House Puerto Rico Hurricane Victims, Judge Rules","After months of temporary reprieves, the judge says temporary housing vouchers for victims of Hurricane Maria staying in hotels can be ended on Sept. 13."
hurricane irma,2018-08-29T13:30:46+0000,House Hunting in … Anguilla,"After a market slowdown in the wake of Hurricane Irma last year, the Caribbean island is on the rebound, thanks in part to its concrete housing stock. "
hurricane irma,2018-08-14T16:21:17+0000,Puerto Rico Spent 11 Months Turning the Power Back On. They Finally Got to Her.,"The problem-plagued effort to restore electric service after the storm blacked out the whole island last year is finally reaching the last few darkened homes, officials say."
hurricane irma,2018-09-24T09:00:12+0000,It’s ‘One Tough Year’ After Hurricanes Tore Through British Virgin Islands,"While much attention has focused on Puerto Rico’s slow recovery from Hurricanes Maria and Irma, other islands have also struggled. The British Virgin Islands were among the worst hit."
hurricane irma,2018-09-09T21:05:54+0000,Forecasters Expect ‘Rapid Intensification’ of Hurricane Florence,"The National Hurricane Center warned of two life-threatening impacts, especially for South Carolina: storm surge at the coast and freshwater flooding from prolonged rain."
hurricane irma,2018-09-12T23:24:43+0000,Hurricane Florence: Your Forecasting and Climate Questions Answered,"How should we make sense of the different forecasting models? Why is the storm so unpredictable? And, how bad will it be?"
hurricane irma,2018-09-02T22:46:41+0000,"Yes, Mr. Trump, Hurricane Maria Was a ‘Real Catastrophe’",The president said the administration did a “fantastic job” in responding to the 2017 storm in Puerto Rico. A new estimate of the death toll says otherwise.
hurricane irma,2018-09-11T23:46:58+0000,"Trump Calls Storm Response in Puerto Rico, Where 3,000 Died, ‘One of the Best’","“I think that Puerto Rico was an incredible, unsung success,” the president said while touting preparations for another hurricane."
hurricane irma,2018-09-04T13:28:47+0000,Powerful Storm Makes Landfall on the Gulf Coast,"Tropical Storm Gordon made landfall near the Alabama-Mississippi border late Tuesday night, without gathering hurricane strength."
hurricane irma,2018-09-10T16:07:24+0000,"As Hurricane Florence Threatens the Carolinas, 1 Million Ordered to Evacuate","The Southeast is bracing for a major Category 4 storm later this week, with a one-two punch of both wind and storm surge and major inland flooding."
hurricane irma,2018-09-22T14:02:48+0000,"Hurricane Florence Has Gone, but Challenges for the Carolinas Have Just Begun","Already the emergency and recovery response is staggering in scope, and the threats have not abated."
hurricane irma,2018-09-13T01:42:38+0000,Hurricane Florence Is a Formidable Test for FEMA and Trump,"After last year’s harsh lessons, the administration girded for a test of its ability as Hurricane Florence approached the Carolina coast."
hurricane irma,2018-09-15T13:29:30+0000,How to Help Those Affected by Florence,"Residents of the Carolinas face the arduous task of cleaning up, repairing and rebuilding. Here’s how to help."
hurricane irma,2018-09-17T13:37:28+0000,Lean Times for Reinsurers Could Trigger a Wave of M.&A.,"Insurers are bracing for $20 billion of damage from Hurricane Florence, on top of record losses in 2017. The best way to survive may be to buy a rival."
hurricane irma,2018-09-26T09:00:05+0000,Utilities Helped Puerto Rico Fix Its Power Grid. Now They Face Hefty Tax Bills.,Electric companies across the mainland have received tax bills from Puerto Rican cities demanding millions of dollars in payments.
hurricane irma,2018-09-19T19:47:07+0000,"Millions of Carolina Homes Are at Risk of Flooding. Only 335,000 Have Flood Insurance. ",Here’s why the federal flood insurance program won’t pick up the slack.
hurricane irma,2018-09-12T20:08:15+0000,An Insurance Executive Explains Why We Need a Carbon Tax,Cutting greenhouse gas emissions is critical to reduce the risks of exposure to extreme weather like the hurricanes now barreling across the Atlantic.
hurricane irma,2018-09-07T17:13:58+0000,California Says Nursing Homes Abandoned Elderly During Fire,The Department of Social Services has moved to close two nursing homes accused of leaving behind residents during last year’s wildfires.
hurricane irma,2018-09-02T17:00:04+0000,"Summer Winds Down, and Big Tech Is Called Before Congress","The newest jobs numbers are expected to show healthy gains, and Detroit automakers will report sales for August."
hurricane irma,2018-09-24T10:00:01+0000,New York Today: Behind a Police Department Scandal,Monday: Inside an investigation and a monument to the Puerto Rican victims of Hurricane Maria.
hurricane irma,2018-09-26T12:00:05+0000,Cheaper Battery Is Unveiled as a Step to a Carbon-Free Grid,The entrepreneur Patrick Soon-Shiong says his company’s tests of zinc-based storage for solar and wind energy show the potential for large-scale use.
hurricane irma,2018-09-24T21:49:22+0000,"Your Monday Evening News Briefing: Kavanaugh, Rosenstein, Cosby",Here’s what you need to know at the end of the day.
hurricane irma,2018-09-21T09:00:14+0000,Culture and Conservation Beneath the Sea,"From Florida to the Maldives, underwater art installations double as artificial reefs."
hurricane irma,2018-10-11T00:40:36+0000,Hurricane Michael Leaves Trail of Destruction as It Slams Florida’s Panhandle,"Residents and emergency workers spent most of the day hunkered down, only emerging after nightfall to begin assessing the Category 4 storm’s toll."
