,date,irma_count,harvey_count,maria_count,irene_count,total_mentions,total_amount,irma_range,harvey_range,irene_range,maria_range,mentions_range
0,2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
1,2011-06-06,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
2,2011-06-07,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
3,2011-06-08,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
4,2011-06-09,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
5,2011-06-10,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
6,2011-06-11,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
7,2011-06-12,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
8,2011-06-13,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
9,2011-06-15,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
10,2011-06-18,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
11,2011-06-20,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
12,2011-06-21,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
13,2011-06-22,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
14,2011-06-24,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
15,2011-06-26,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
16,2011-06-28,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
17,2011-06-29,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
18,2011-07-01,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
19,2011-07-02,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
20,2011-07-03,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
21,2011-07-05,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
22,2011-07-07,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
23,2011-07-08,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
24,2011-07-09,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
25,2011-07-11,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
26,2011-07-12,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
27,2011-07-13,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
28,2011-07-14,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
29,2011-07-16,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
30,2011-07-19,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
31,2011-07-23,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
32,2011-07-25,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
33,2011-07-26,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
34,2011-07-27,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
35,2011-07-31,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
36,2011-08-01,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
37,2011-08-05,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
38,2011-08-10,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
39,2011-08-22,0.0,0.0,0.0,30.0,30.0,0.0,low,low,low,low,low
40,2011-08-23,0.0,0.0,0.0,28.0,28.0,0.0,low,low,low,low,low
41,2011-08-24,0.0,0.0,0.0,21.0,21.0,546000.0,low,low,low,low,low
42,2011-08-25,0.0,0.0,0.0,164.0,164.0,534453.97,low,low,medium,low,low
43,2011-08-26,0.0,0.0,0.0,431.0,431.0,2375676.64,low,low,high,low,low
44,2011-08-27,0.0,0.0,0.0,370.0,370.0,7443208.08,low,low,high,low,low
45,2011-08-28,0.0,0.0,0.0,469.0,469.0,382289.9,low,low,high,low,low
46,2011-08-29,0.0,0.0,2.0,441.0,443.0,267608.38,low,low,high,low,low
47,2011-08-30,0.0,0.0,0.0,43.0,43.0,2661861.08,low,low,low,low,low
48,2011-08-31,0.0,0.0,0.0,182.0,182.0,8415160.47,low,low,medium,low,low
49,2011-09-01,0.0,0.0,0.0,228.0,228.0,5874857.909999998,low,low,medium,low,low
50,2011-09-02,0.0,0.0,0.0,12.0,12.0,5273615.48,low,low,low,low,low
51,2011-09-03,0.0,0.0,0.0,31.0,31.0,636000.0,low,low,low,low,low
52,2011-09-04,0.0,0.0,0.0,6.0,6.0,75000.0,low,low,low,low,low
53,2011-09-05,0.0,0.0,0.0,1.0,1.0,513024.63,low,low,low,low,low
54,2011-09-06,0.0,0.0,0.0,34.0,34.0,1533180.95,low,low,low,low,low
55,2011-09-07,0.0,0.0,0.0,12.0,12.0,422806.38,low,low,low,low,low
56,2011-09-08,0.0,0.0,0.0,2.0,2.0,782422.3600000001,low,low,low,low,low
57,2011-09-09,0.0,0.0,0.0,1.0,1.0,4737698.85,low,low,low,low,low
58,2011-09-10,0.0,0.0,0.0,0.0,0.0,718443.8200000002,low,low,low,low,low
59,2011-09-11,0.0,0.0,0.0,0.0,0.0,8704.0,low,low,low,low,low
60,2011-09-12,0.0,0.0,0.0,0.0,0.0,2779085.25,low,low,low,low,low
61,2011-09-13,0.0,0.0,0.0,0.0,0.0,5047395.58,low,low,low,low,low
62,2011-09-14,0.0,0.0,0.0,81.0,81.0,119409.25,low,low,low,low,low
63,2011-09-15,0.0,0.0,0.0,17.0,17.0,3794822.07,low,low,low,low,low
64,2011-09-16,0.0,0.0,0.0,1.0,1.0,332770.97000000003,low,low,low,low,low
65,2011-09-17,0.0,0.0,0.0,0.0,0.0,189070.65,low,low,low,low,low
66,2011-09-18,0.0,0.0,0.0,2.0,2.0,724209.48,low,low,low,low,low
67,2011-09-19,0.0,0.0,0.0,0.0,0.0,259156.84,low,low,low,low,low
68,2011-09-20,0.0,0.0,0.0,1.0,1.0,570084.49,low,low,low,low,low
69,2011-09-21,0.0,0.0,0.0,0.0,0.0,1414385.02,low,low,low,low,low
70,2011-09-22,0.0,0.0,0.0,0.0,0.0,389395.57,low,low,low,low,low
71,2011-09-23,0.0,0.0,0.0,0.0,0.0,1867371.18,low,low,low,low,low
72,2011-09-24,0.0,0.0,0.0,0.0,0.0,126155.5,low,low,low,low,low
73,2011-09-25,0.0,0.0,0.0,1.0,1.0,4856521.15,low,low,low,low,low
74,2011-09-26,0.0,0.0,0.0,0.0,0.0,3440153.5699999994,low,low,low,low,low
75,2011-09-27,0.0,0.0,0.0,0.0,0.0,2502584.0,low,low,low,low,low
76,2011-09-28,0.0,0.0,0.0,0.0,0.0,2765244.49,low,low,low,low,low
77,2011-09-29,0.0,0.0,0.0,0.0,0.0,3301832.6099999994,low,low,low,low,low
78,2011-09-30,0.0,0.0,0.0,0.0,0.0,16084336.39,low,low,low,low,low
79,2011-10-01,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
80,2011-10-02,0.0,0.0,0.0,1.0,1.0,0.0,low,low,low,low,low
81,2011-10-03,0.0,0.0,0.0,0.0,0.0,3500.0,low,low,low,low,low
82,2011-10-04,0.0,0.0,0.0,0.0,0.0,90232.1,low,low,low,low,low
83,2011-10-05,0.0,0.0,0.0,0.0,0.0,315.0,low,low,low,low,low
84,2011-10-06,0.0,0.0,0.0,0.0,0.0,174238.39,low,low,low,low,low
85,2011-10-07,0.0,0.0,0.0,0.0,0.0,121889.63,low,low,low,low,low
86,2011-10-08,0.0,0.0,0.0,0.0,0.0,541512.0,low,low,low,low,low
87,2011-10-09,0.0,0.0,0.0,0.0,0.0,823302.65,low,low,low,low,low
88,2011-10-10,0.0,0.0,0.0,0.0,0.0,9500.0,low,low,low,low,low
89,2011-10-11,0.0,0.0,0.0,0.0,0.0,29362.88,low,low,low,low,low
90,2011-10-12,0.0,0.0,0.0,0.0,0.0,18400.0,low,low,low,low,low
91,2011-10-13,0.0,0.0,0.0,0.0,0.0,4981970.96,low,low,low,low,low
92,2011-10-14,0.0,0.0,0.0,0.0,0.0,216930.84,low,low,low,low,low
93,2011-10-15,0.0,0.0,0.0,0.0,0.0,42213.6,low,low,low,low,low
94,2011-10-16,0.0,0.0,0.0,0.0,0.0,953364.58,low,low,low,low,low
95,2011-10-17,0.0,0.0,0.0,0.0,0.0,32450.0,low,low,low,low,low
96,2011-10-18,0.0,0.0,0.0,0.0,0.0,188686.94,low,low,low,low,low
97,2011-10-19,0.0,0.0,0.0,0.0,0.0,-12000.0,low,low,low,low,low
98,2011-10-20,0.0,0.0,0.0,0.0,0.0,188730.4,low,low,low,low,low
99,2011-10-21,0.0,0.0,0.0,0.0,0.0,41292.0,low,low,low,low,low
100,2011-10-22,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
101,2011-10-24,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
102,2011-10-25,0.0,0.0,0.0,0.0,0.0,312315.16,low,low,low,low,low
103,2011-10-26,0.0,0.0,0.0,0.0,0.0,17685.0,low,low,low,low,low
104,2011-10-27,0.0,0.0,0.0,0.0,0.0,394470.31,low,low,low,low,low
105,2011-10-28,0.0,0.0,0.0,0.0,0.0,30321.1,low,low,low,low,low
106,2011-10-29,0.0,0.0,0.0,1.0,1.0,8030.76,low,low,low,low,low
107,2011-10-30,0.0,0.0,0.0,0.0,0.0,300.0,low,low,low,low,low
108,2011-10-31,0.0,0.0,0.0,0.0,0.0,144565.0,low,low,low,low,low
109,2011-11-01,0.0,0.0,0.0,0.0,0.0,98028.18,low,low,low,low,low
110,2011-11-02,0.0,0.0,0.0,0.0,0.0,140823.12,low,low,low,low,low
111,2011-11-03,0.0,0.0,0.0,0.0,0.0,66905.0,low,low,low,low,low
112,2011-11-04,0.0,0.0,0.0,0.0,0.0,659781.11,low,low,low,low,low
113,2011-11-05,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
114,2011-11-06,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
115,2011-11-07,0.0,0.0,0.0,0.0,0.0,8800.0,low,low,low,low,low
116,2011-11-08,0.0,0.0,0.0,0.0,0.0,142180.0,low,low,low,low,low
117,2011-11-09,0.0,0.0,0.0,0.0,0.0,451765.18,low,low,low,low,low
118,2011-11-10,0.0,0.0,0.0,0.0,0.0,1792590.76,low,low,low,low,low
119,2011-11-11,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
120,2011-11-12,0.0,0.0,0.0,0.0,0.0,17028.0,low,low,low,low,low
121,2011-11-13,0.0,0.0,0.0,0.0,0.0,31320.0,low,low,low,low,low
122,2011-11-14,0.0,0.0,0.0,0.0,0.0,166078.8,low,low,low,low,low
123,2011-11-15,0.0,0.0,0.0,0.0,0.0,17624.260000000002,low,low,low,low,low
124,2011-11-16,0.0,0.0,0.0,0.0,0.0,59806.0,low,low,low,low,low
125,2011-11-17,0.0,0.0,0.0,0.0,0.0,1396247.2,low,low,low,low,low
126,2011-11-18,0.0,0.0,0.0,0.0,0.0,2767506.97,low,low,low,low,low
127,2011-11-19,0.0,0.0,0.0,0.0,0.0,19800.0,low,low,low,low,low
128,2011-11-20,0.0,0.0,0.0,0.0,0.0,5704.0,low,low,low,low,low
129,2011-11-21,0.0,0.0,0.0,0.0,0.0,-21408.840000000004,low,low,low,low,low
130,2011-11-22,0.0,0.0,0.0,0.0,0.0,39494.21,low,low,low,low,low
131,2011-11-23,0.0,0.0,0.0,0.0,0.0,127551.62,low,low,low,low,low
132,2011-11-25,0.0,0.0,0.0,0.0,0.0,38414.5,low,low,low,low,low
133,2011-11-26,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
134,2011-11-28,0.0,0.0,0.0,0.0,0.0,1547.0,low,low,low,low,low
135,2011-11-29,0.0,0.0,0.0,0.0,0.0,49011.03,low,low,low,low,low
136,2011-11-30,0.0,0.0,0.0,0.0,0.0,87093.47,low,low,low,low,low
137,2011-12-01,0.0,0.0,0.0,0.0,0.0,64867.0,low,low,low,low,low
138,2011-12-02,0.0,0.0,0.0,0.0,0.0,104820.0,low,low,low,low,low
139,2011-12-03,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
140,2011-12-04,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
141,2011-12-05,0.0,0.0,0.0,0.0,0.0,269669.92000000004,low,low,low,low,low
142,2011-12-06,0.0,0.0,0.0,1.0,1.0,190229.12,low,low,low,low,low
143,2011-12-07,0.0,0.0,0.0,5.0,5.0,119059.5,low,low,low,low,low
144,2011-12-08,0.0,0.0,0.0,3.0,3.0,1133572.84,low,low,low,low,low
145,2011-12-09,0.0,0.0,0.0,0.0,0.0,283586.12,low,low,low,low,low
146,2011-12-10,0.0,0.0,0.0,0.0,0.0,57232.82000000001,low,low,low,low,low
147,2011-12-11,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
148,2011-12-12,0.0,0.0,0.0,1.0,1.0,69890.0,low,low,low,low,low
149,2011-12-13,0.0,0.0,0.0,2.0,2.0,309392.68,low,low,low,low,low
150,2011-12-14,0.0,0.0,0.0,0.0,0.0,9000.0,low,low,low,low,low
151,2011-12-15,0.0,0.0,0.0,0.0,0.0,62906.3,low,low,low,low,low
152,2011-12-16,0.0,0.0,0.0,0.0,0.0,373961.75,low,low,low,low,low
153,2011-12-17,0.0,0.0,0.0,0.0,0.0,-1325.05,low,low,low,low,low
154,2011-12-18,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
155,2011-12-19,0.0,0.0,0.0,0.0,0.0,27000.0,low,low,low,low,low
156,2011-12-20,0.0,0.0,0.0,0.0,0.0,101369.76,low,low,low,low,low
157,2011-12-21,0.0,0.0,0.0,0.0,0.0,64672.42,low,low,low,low,low
158,2011-12-22,0.0,0.0,0.0,0.0,0.0,2282285.84,low,low,low,low,low
159,2011-12-23,0.0,0.0,0.0,0.0,0.0,81952.0,low,low,low,low,low
160,2011-12-24,0.0,0.0,0.0,15.0,15.0,0.0,low,low,low,low,low
161,2011-12-25,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
162,2011-12-27,0.0,0.0,0.0,0.0,0.0,6947.01,low,low,low,low,low
163,2011-12-28,0.0,0.0,0.0,0.0,0.0,22544.93,low,low,low,low,low
164,2011-12-29,0.0,0.0,0.0,1.0,1.0,12320.0,low,low,low,low,low
165,2011-12-30,0.0,0.0,0.0,0.0,0.0,6000.0,low,low,low,low,low
166,2011-12-31,0.0,0.0,0.0,0.0,0.0,0.0,low,low,low,low,low
167,2012-01-03,0.0,0.0,0.0,0.0,0.0,21220.0,low,low,low,low,low
168,2012-01-04,0.0,0.0,0.0,0.0,0.0,64330.0,low,low,low,low,low
169,2012-01-05,0.0,0.0,0.0,0.0,0.0,13111.64,low,low,low,low,low
170,2012-01-06,0.0,0.0,0.0,0.0,0.0,1766.1,low,low,low,low,low
171,2012-01-08,0.0,0.0,0.0,2.0,2.0,0.0,low,low,low,low,low
172,2012-01-09,0.0,0.0,0.0,0.0,0.0,60000.0,low,low,low,low,low
173,2012-01-10,0.0,0.0,0.0,0.0,0.0,5192.0,low,low,low,low,low
174,2012-01-11,0.0,0.0,0.0,2.0,2.0,-6900.489999999998,low,low,low,low,low
175,2012-01-12,0.0,0.0,0.0,0.0,0.0,423853.69,low,low,low,low,low
176,2012-01-13,0.0,0.0,0.0,0.0,0.0,1043611.71,low,low,low,low,low
177,2012-01-17,0.0,0.0,0.0,0.0,0.0,81956.6,low,low,low,low,low
