date,number of titles for irma,number of titles for harvey,number of titles for maria,number of titles for irene,number of summaries for irma,number of summaries for harvey,number of summaries for maria,number of summaries for irene
2011-12-04,0,0,0,0,0,0,0,0
2011-09-07,0,0,0,0,0,0,0,0
2017-11-17,0,0,0,0,0,0,0,0
2011-06-21,0,0,0,0,0,0,1,0
2011-12-24,0,0,0,0,0,0,2,0
2017-06-20,0,0,0,0,0,0,0,0
2017-10-12,0,0,12,0,24,0,24,0
2017-11-16,0,0,0,0,0,0,6,0
2017-10-29,0,0,0,0,0,0,0,0
2017-11-26,0,0,0,0,6,0,6,0
2017-07-16,0,0,0,0,0,0,0,0
2017-11-23,0,0,0,0,0,0,0,0
2017-10-15,0,12,0,0,0,0,12,0
2017-11-03,0,0,0,0,12,12,0,0
2017-06-30,0,0,0,0,0,0,0,0
2011-11-22,0,0,0,0,0,0,0,0
2017-11-05,0,0,0,0,6,0,0,0
2011-10-31,0,0,0,0,1,0,0,1
2011-08-26,0,0,0,6,0,0,0,2
2017-08-25,0,18,0,0,0,18,0,0
2011-11-04,0,0,0,0,0,0,0,0
2017-10-06,12,0,12,0,36,24,12,0
2011-08-25,0,0,0,4,0,0,0,2
2017-09-17,0,0,0,0,35,14,0,0
2011-06-26,0,0,0,0,0,0,0,0
2011-11-23,0,0,0,0,0,0,0,0
2017-10-01,0,0,0,0,0,0,12,0
2017-11-14,0,0,0,0,6,0,6,0
2011-12-19,0,0,0,0,0,0,0,0
2011-12-02,0,0,0,0,0,0,0,0
2017-11-20,12,0,0,0,12,6,6,0
2011-06-15,0,0,0,0,1,0,0,0
2017-09-16,42,0,0,0,42,21,0,0
2017-10-20,0,0,0,0,12,12,12,0
2017-11-24,0,6,0,0,0,6,0,0
2017-08-27,0,0,0,0,0,27,0,0
2017-10-16,0,0,0,0,12,0,0,0
2017-10-23,0,0,0,0,12,24,0,0
2017-12-10,0,0,0,0,6,6,6,0
2017-06-05,0,0,0,0,0,0,0,0
2011-11-11,0,0,0,0,0,0,0,0
2017-06-10,0,0,0,0,0,0,0,0
2011-10-06,0,0,0,0,0,0,0,0
2017-12-25,0,0,0,0,6,6,6,0
2011-12-12,0,0,0,0,0,0,0,0
2011-10-12,0,0,0,0,0,0,0,0
2011-12-29,0,0,0,0,0,0,0,0
2011-10-20,0,0,0,0,0,0,0,0
2017-07-09,0,0,0,0,0,0,0,0
2017-11-12,0,0,0,0,0,0,0,0
2011-11-26,0,0,0,0,0,0,0,0
2011-12-09,0,0,0,0,0,0,0,0
2017-09-09,21,0,0,0,21,0,21,0
2011-09-18,0,0,0,2,0,0,0,0
2017-12-28,0,0,0,0,6,6,6,0
2017-06-03,0,0,0,0,0,0,0,0
2011-08-29,0,0,0,20,0,0,0,16
2011-06-03,0,0,0,0,1,0,0,0
2017-11-06,0,0,0,0,0,0,0,0
2011-10-21,0,0,0,0,0,0,0,0
2011-08-28,0,0,0,20,2,0,2,8
2017-11-08,0,0,0,0,6,0,0,0
2017-09-05,21,21,0,0,21,42,0,0
2011-11-28,0,0,0,0,0,0,0,0
2017-12-29,0,0,0,0,0,6,0,0
2011-06-13,0,0,0,0,0,0,0,0
2011-07-08,0,0,0,0,0,0,0,0
2011-07-19,0,0,0,0,0,0,0,0
2011-12-22,0,0,0,0,0,0,0,0
2017-10-28,0,0,0,0,12,12,24,12
2011-09-04,0,0,0,0,2,0,0,0
2017-06-26,0,0,0,0,6,0,0,0
