search query,article date,article title,article summary
hurricane irma,2017-08-24T11:06:12+0000,"Trump Said the Opioid Crisis Is a National Emergency, but He Never Filed the Paperwork",There are 28 active national emergencies. The opioid crisis is not yet one of them.
hurricane irma,2017-09-08T15:59:17+0000,On Hurricane Irma,Irma is one of the most powerful Atlantic hurricanes ever recorded.
hurricane irma,2017-09-06T23:05:57+0000,How to Follow Hurricane Irma,"A wealth of storm information is available at your fingertips on the internet, but individual data points can be misleading."
hurricane irma,2017-09-09T13:45:44+0000,Hurricane Irma in Pictures,Photographs from the storm and its aftermath.
hurricane irma,2017-09-11T19:56:42+0000,The Damage Wrought by Hurricane Irma,"Readers discuss how Irma brought out the good in people, how reporters risked their lives, global warming and the Mexican quake."
hurricane irma,2017-09-12T03:41:41+0000,A Drive Through Hurricane Irma’s Destruction in Florida,"The day after Hurricane Irma battered southwest Florida with high winds and flooding, we visited some of the places that were most affected."
hurricane irma,2017-09-08T22:38:50+0000,How Hurricane Irma Became So Huge and Destructive,A mix of meteorological conditions has conspired over the past week to make the storm unusually large and powerful.
hurricane irma,2017-09-09T01:23:04+0000,How to Help Hurricane Irma Victims,Here are some things you can do — and things you should not do — for the hardest-hit communities in the Caribbean and Florida.
hurricane irma,2017-09-06T15:59:33+0000,Hurricane Irma's Eye Passes Over Florida Keys,Hurricane Irma churned toward the Florida Keys after leaving a path of destruction across the Caribbean.
hurricane irma,2017-09-10T22:46:32+0000,A ‘Call’ to Shoot at Hurricane Irma Gains Unexpected Attention,A Facebook post about firing weapons into Hurricane Irma went viral this week. Not everyone was in on the joke.
hurricane irma,2017-09-14T17:33:00+0000,Trump Visits Florida After Hurricane Irma,"President Trump visited Fort Myers, Fla., on Thursday to assess the damage after Hurricane Irma."
hurricane irma,2017-09-07T19:23:26+0000,"Hurricane Irma: Assessing the Damage, and What’s Next","The storm, weakened and downgraded, has inundated Florida with rain and lashing winds and is working its way through the Southeast."
hurricane irma,2017-09-05T00:56:49+0000,"Hurricane Irma, Now a Category 5 Storm, Threatens the Caribbean and Florida",The “potentially catastrophic” storm recorded maximum winds near 185 m.p.h. just hours ahead of its expected landfall in the Caribbean on Tuesday night.
hurricane irma,2017-09-11T13:31:07+0000,Hurricane Irma: Video and Images From Social Media,"As the hurricane rolled north, leaving residents to cope with widespread flooding, images on social media captured the powerful effects."
hurricane irma,2017-09-12T09:00:01+0000,My (Surprisingly Calm) Flight Through Hurricane Irma,"We embedded with the Air Force Reserve’s 53rd Weather Reconnaissance Squadron, known as the Hurricane Hunters. On a 12-hour flight, the crew gathered data on Hurricane Irma as it made landfall over Cuba on its way to Florida."
hurricane irma,2017-09-10T15:02:48+0000,Hurricane Irma’s Toll on Florida,The storm hit Florida after leaving a path of destruction across the Caribbean.
hurricane irma,2017-09-10T21:47:15+0000,Hurricane Irma Inspires Stay-at-Home Church Services,"As Floridians bunkered up on Sunday morning awaiting Hurricane Irma, pastors conducted services from home and streamed live messages of hope online."
hurricane irma,2017-09-09T21:08:55+0000,"Dolphins, Flamingos and Pigs: The Animals Rescued From Hurricane Irma","While millions of humans are evacuating ahead of the storm, the relocation of animals is an extra challenge."
hurricane irma,2017-09-09T14:46:16+0000,Drone Footage Shows Desolate Miami Beach as Hurricane Irma Nears,"Normally a tourist hotspot bustling with activity, Miami Beach was all but abandoned Friday evening as Hurricane Irma approached."
hurricane irma,2017-09-08T17:20:23+0000,Planes Fill Florida Skies as Hurricane Irma Approaches,The Federal Aviation Administration expected “increased volume” at airports in South Florida as airlines raced to get flights off the ground.
hurricane irma,2017-09-17T09:00:01+0000,‘Price Gouging’ and Hurricane Irma: What Happened and What to Do,Customers trying to book flights in the lead-up to Irma faced steep price hikes. But were they out of the ordinary?
hurricane irma,2017-09-11T00:46:19+0000,"Irma Roars In, and All of Florida Shakes and Shudders","Hurricane Irma hit hardest at the Florida Keys and the Gulf Coast, but the whole state felt its wrath after one of the largest evacuations in American history."
hurricane irma,2017-09-01T17:05:01+0000,"Hurricane Irma Looms, but It’s Too Early to Predict Landfall","The thought of a Category 3 hurricane approaching, as thousands reel from Harvey, is daunting. But experts are days away from understanding its impact."
hurricane irma,2017-09-07T00:09:18+0000,"Hurricane Irma, One of the Most Powerful in History, Roars Across Caribbean",The storm left wreckage and flooding on Caribbean islands and is making its way toward Florida.
hurricane irma,2017-09-09T04:48:35+0000,Hurricane Irma Is One of the Strongest Storms In History,The hurricane has broken records for wind speed and number of days as a Category 5 storm.
hurricane irma,2017-09-17T09:00:26+0000,"Hurricane Irma’s Vast Destruction in the Caribbean, Building by Building","Maps illustrate the thousands of structures damaged by the storm, on three of the hardest-hit islands: St. Martin, Anguilla and Barbuda."
hurricane irma,2017-09-06T12:25:26+0000,"No, Hurricane Irma Won’t Be a ‘Category 6’ Storm","There is no such thing as Category 6, and there won’t be, even for a storm like Irma that threatens to break Atlantic hurricane records."
hurricane irma,2017-09-09T00:39:29+0000,"Hurricane Irma Barrels Toward U.S., Threatening to Engulf Florida","The storm prompted the largest evacuation in Florida history, with people scrambling into crowded shelters and jamming highways."
hurricane irma,2017-09-07T09:00:23+0000,"Why Hurricane Irma Could Hurt, a Lot: Much Lies in Harm’s Way","South Florida has grown at a breathtaking pace, making big storms potentially more dangerous and costly."
hurricane irma,2017-09-11T17:14:11+0000,Hemingway’s Six-Toed Cats Ride Out Hurricane Irma in Key West,"The 54 cats, many of them descendants of one owned by Hemingway, live at the author’s house in Key West, which was hit hard by Hurricane Irma."
hurricane irma,2017-09-18T13:56:08+0000,A Lesson From Hurricane Irma: Bury the Utility Poles,"Aboveground power distribution systems in Florida have caused “danger, discomfort and economic loss” after a hurricane."
hurricane irma,2017-09-15T11:21:24+0000,"After Irma: Caribbean Tourism, Island by Island","Some places emerged from the hurricane unscathed. Others are in ruins. A look at the damage, bright spots and uncertain future."
hurricane irma,2017-09-06T00:04:19+0000,"Hurricane Irma, Packing 185-M.P.H. Winds, Makes Landfall in Caribbean","Among the most powerful storms recorded in the Atlantic Ocean, the storm arrived in the islands with 185 m.p.h. winds, with the eye passing over Barbuda as it headed toward Puerto Rico."
hurricane irma,2017-09-08T08:14:01+0000,Teaching Activities for: ‘Hurricane Irma Devastates Caribbean and Heads Toward Florida’,Where has Irma hit and done damage so far? Where has the impact been worst?
hurricane irma,2017-09-05T13:21:04+0000,Maps: Tracking Hurricane Irma’s Path Over Florida,"Live, updated maps showing where the storm has made landfall and how much of the state has been hit by tropical-storm- and hurricane-force winds."
hurricane irma,2017-09-09T01:01:30+0000,Hurricane Irma Forces Yankees to Play Tampa Bay Rays at Citi Field,"Major League Baseball took the cautionary step of moving the three-game series, which begins Monday, to the Mets’ home."
hurricane irma,2017-09-11T04:06:02+0000,"Hurricane Irma, Apple, Pope Francis: Your Monday Briefing",Here’s what you need to know to start your day.
hurricane irma,2017-09-10T20:09:26+0000,"Hurricane Irma, Apple, Myanmar: Your Monday Briefing",Here’s what you need to know to start your day.
hurricane irma,2017-09-11T09:00:24+0000,"Hurricane Irma Linked to Climate Change? For Some, a Very ‘Insensitive’ Question",Scientists are concerned that Trump administration officials are sidestepping questions about climate change after two major hurricanes.
hurricane irma,2017-09-07T18:48:06+0000,In Hurricane Irma’s Ruinous Wake: ‘I Feel Like I’m on the Moon’,Images show the extent of the devastation in the eastern Caribbean islands directly in the path of Hurricane Irma.
hurricane irma,2017-09-10T14:15:26+0000,"Hurricane Irma: ‘A Low Howl,’ ‘Tearing Through the Trees,’ ‘Like Waiting for a Monster’",Those in the path of Hurricane Irma describe the looming storm in terrifying words.
hurricane irma,2017-09-06T09:35:27+0000,"Hurricane Irma, DACA, Boston Red Sox: Your Wednesday Briefing",Here’s what you need to know to start your day.
hurricane irma,2017-09-13T02:53:25+0000,"Its River Swollen, a Florida Town Wades in Rising Water After Hurricane Irma","In the aftermath of the storm, residents of Bonita Springs, Fla., were contending with waist-deep water and spotty cell service — challenges for many Floridians across the state."
hurricane irma,2017-09-08T04:01:54+0000,"Hurricane Irma, Emmanuel Macron, ‘Brexit’: Your Friday Briefing",Here’s what you need to know to start your day.
hurricane irma,2017-09-10T10:00:53+0000,"Hurricane Irma, Mexico City, Rohingya: Your Weekend Briefing",Here’s what you need to know about the week’s top stories.
hurricane irma,2017-09-12T04:21:26+0000,"Watching Hurricanes Irma, Jose and Katia From 22,000 Miles Above Earth",A new U.S. weather satellite provided a timelapse view of three dangerous hurricanes.
hurricane irma,2017-09-12T21:51:41+0000,"Hurricane Irma, North Korea, Apple: Your Tuesday Evening Briefing",Here’s what you need to know at the end of the day.
hurricane irma,2017-09-06T21:55:52+0000,"Hurricane Irma, DACA, ‘It’: Your Wednesday Evening Briefing",Here’s what you need to know at the end of the day.
hurricane irma,2017-09-07T20:00:38+0000,"Hurricane Irma, North Korea, Amazon: Your Friday Briefing",Here’s what you need to know to start your day.
hurricane irma,2017-09-07T04:11:10+0000,"Hurricane Irma, Hungary, U.S. Open: Your Thursday Briefing",Here’s what you need to know to start your day.
hurricane irma,2017-09-07T19:32:08+0000,"Harvey and Irma, Married 75 Years, Marvel at the Storms Bearing Their Names",Harvey and Irma Schluter are 104 and 92 years old. Never before have two storms bearing their names followed each other.
