news date,occurrence of hurricane,occurrence of irma,occurrence of harvey,occurrence of maria
2017-12-07,0,1,0,0
2017-12-08,0,1,0,0
2017-12-08,0,0,3,0
2017-12-08,0,0,1,0
2017-12-08,0,1,0,0
2017-12-08,0,1,0,0
2017-12-07,0,0,1,0
2017-10-17,0,1,0,0
2017-10-17,0,0,2,0
2017-10-17,0,0,2,0
2017-10-17,1,0,0,0
2017-10-17,0,0,0,1
2017-10-17,0,0,0,1
2017-10-17,0,0,1,0
2017-10-17,1,0,0,0
2017-10-17,0,1,0,0
2017-10-17,0,0,0,1
2017-10-17,0,1,0,0
2017-10-31,0,3,0,0
2017-10-31,1,4,0,0
2017-10-31,0,2,0,0
2017-10-31,0,0,1,0
2017-03-02,0,4,0,0
2017-10-31,0,0,1,0
2017-10-31,0,0,0,1
2017-10-31,0,0,1,0
2017-10-31,0,2,0,0
2017-10-31,0,0,3,0
2017-10-31,7,4,0,1
2017-10-31,0,1,0,0
2017-08-12,0,1,0,0
2017-08-12,0,1,0,0
2017-08-12,0,1,0,0
2017-08-12,0,6,0,0
2017-08-12,0,0,0,3
2017-12-13,2,1,1,1
2017-12-13,0,0,0,8
2017-12-13,0,1,0,0
2017-12-13,0,0,1,0
2017-12-13,0,1,0,0
2017-07-23,0,1,0,0
2017-07-23,0,1,0,0
2017-10-08,0,0,1,0
2017-10-08,0,0,0,1
2017-10-08,0,0,1,0
2017-12-21,0,0,0,9
2017-12-21,0,5,0,0
2017-12-21,0,1,0,0
2017-12-21,0,2,0,0
2017-08-05,0,1,0,1
2017-08-05,0,0,1,0
2017-09-30,0,0,0,1
2017-09-30,0,0,0,1
2017-09-29,0,2,0,0
2017-10-09,0,1,0,0
2017-10-09,0,1,0,0
2017-10-09,0,0,0,1
2017-10-09,1,0,0,0
2017-10-09,0,0,0,1
2017-10-09,0,1,0,0
2017-10-09,0,0,1,0
2017-07-20,0,1,0,0
2017-07-20,0,0,0,1
2017-07-20,0,0,0,3
2017-07-20,0,1,0,0
2017-11-09,0,1,0,0
2017-11-09,0,0,0,3
2017-10-04,4,0,0,4
2017-10-04,0,1,0,0
2017-10-04,0,0,0,1
2017-10-04,0,1,0,0
2017-10-04,0,1,0,0
2017-10-04,0,1,0,0
2017-10-04,0,2,0,0
2017-10-04,0,2,0,0
2017-08-04,0,0,0,1
2017-08-03,0,0,0,1
2017-12-22,0,0,0,1
2017-12-22,0,0,0,2
2017-12-22,0,0,0,1
2017-12-22,0,0,0,1
2017-12-22,0,0,0,1
2017-12-22,0,0,0,2
2017-12-22,0,0,1,0
2017-12-22,0,1,0,0
2017-07-15,0,1,0,0
2017-07-15,0,0,0,1
2017-07-15,0,2,0,0
2017-07-15,0,1,0,0
2017-07-15,0,2,0,0
2017-07-15,0,0,0,1
2017-10-17,0,1,0,0
2017-10-17,0,0,0,1
2017-10-17,1,1,0,0
2017-10-17,0,0,1,0
2017-10-16,1,1,0,0
2017-10-17,0,0,2,0
2017-10-17,0,1,0,0
2017-10-17,0,0,1,0
2017-10-17,0,1,0,0
2017-10-17,0,0,1,0
2017-12-12,0,1,0,0
2017-12-12,0,2,0,0
2017-12-12,0,0,0,3
2017-12-12,1,0,0,1
2017-08-14,0,1,0,0
2017-08-14,1,0,0,0
2017-08-14,0,1,0,0
2017-08-14,0,1,0,0
