date,affect,hurricane,royals,soccer
2011-06-01,0,0,0,0
2011-06-03,0,0,0,0
2011-06-04,0,0,0,0
2011-06-06,2,0,0,1
2011-06-07,0,0,0,0
2011-06-09,1,0,0,0
2011-06-10,0,0,0,0
2011-06-11,0,0,0,0
2011-06-12,1,0,0,0
2011-06-13,1,0,0,0
2011-06-15,1,0,0,1
2011-06-16,1,0,0,0
2011-06-18,0,0,0,0
2011-06-20,1,0,0,0
2011-06-21,0,0,0,0
2011-06-22,0,0,0,1
2011-06-24,0,0,0,0
2011-06-26,0,0,0,1
2011-06-28,0,0,0,0
2011-06-29,2,0,0,0
2011-07-05,1,0,0,0
2011-07-07,0,0,0,0
2011-07-08,0,0,0,0
2011-07-09,0,0,0,0
2011-07-11,0,0,0,0
2011-07-12,0,0,0,0
2011-07-15,0,0,0,1
2011-07-18,0,0,0,0
2011-07-19,0,0,0,0
2011-07-20,0,0,0,0
2011-07-21,0,0,0,0
2011-07-22,0,0,0,0
2011-07-23,0,0,0,0
2011-07-27,2,0,0,0
2011-07-29,0,0,0,1
2011-07-31,0,0,0,0
2011-08-02,0,0,0,0
2011-08-05,0,0,0,0
2011-08-10,0,0,0,0
2011-08-13,0,0,0,0
2011-08-19,0,0,0,0
2011-08-23,0,0,0,0
2011-08-24,0,0,0,0
2011-08-25,2,0,0,0
2011-08-26,2,0,0,0
2011-08-27,4,0,0,2
2011-08-28,8,2,0,0
2011-08-29,16,0,0,0
2011-08-30,8,0,0,0
2011-08-31,2,0,0,0
2011-09-01,4,2,0,0
2011-09-02,6,0,0,0
2011-09-03,2,0,0,0
2011-09-04,2,0,0,2
2011-09-05,0,0,0,0
2011-09-06,4,0,0,0
2011-09-07,0,0,0,0
2011-09-09,2,0,0,2
2011-09-10,4,0,0,0
2011-09-11,2,0,0,0
2011-09-12,4,0,0,2
2011-09-13,6,0,2,4
2011-09-14,4,0,0,2
2011-09-16,0,0,0,0
2011-09-17,2,0,0,0
2011-09-18,2,0,0,0
2011-09-19,2,0,0,0
2011-09-22,0,0,0,0
2011-09-23,0,0,0,0
2011-09-27,0,0,0,0
2011-09-28,0,0,0,0
2011-09-30,0,0,0,0
2011-10-01,0,0,0,2
2011-10-04,0,0,0,0
2011-10-06,0,0,0,0
2011-10-07,1,0,0,0
2011-10-09,0,0,0,0
2011-10-10,0,0,0,0
2011-10-12,0,0,0,0
2011-10-13,1,0,0,0
2011-10-14,0,0,0,0
2011-10-15,0,0,0,0
2011-10-16,0,0,0,0
2011-10-17,1,0,0,0
2011-10-20,0,0,0,0
2011-10-21,1,0,0,2
2011-10-22,0,0,0,0
2011-10-24,1,0,0,0
2011-10-25,0,0,0,0
2011-10-26,1,0,0,1
2011-10-27,1,0,0,1
2011-10-28,0,0,0,1
2011-10-30,1,0,0,0
2011-10-31,1,0,0,0
2011-11-02,0,0,0,0
2011-11-03,0,0,0,2
2011-11-04,0,0,0,0
2011-11-05,2,0,0,0
2011-11-06,0,0,0,2
2011-11-07,0,0,0,0
2011-11-09,2,0,2,2
2011-11-11,2,0,0,2
2011-11-12,0,0,0,0
2011-11-14,0,0,0,0
2011-11-15,0,0,0,0
2011-11-16,4,0,0,2
2011-11-17,4,0,0,2
2011-11-18,2,0,0,0
2011-11-20,0,0,0,0
2011-11-21,0,0,0,0
2011-11-22,0,0,0,0
2011-11-23,0,0,0,0
2011-11-26,2,0,0,2
2011-11-28,2,0,0,0
2011-11-29,0,0,0,2
2011-11-30,0,0,0,2
2011-12-01,2,0,0,0
2011-12-02,2,0,0,0
2011-12-04,0,0,2,2
2011-12-05,2,0,0,4
2011-12-08,2,0,0,0
2011-12-09,4,0,0,0
2011-12-10,8,0,0,0
2011-12-11,4,0,0,2
2011-12-12,0,0,0,0
2011-12-13,0,0,0,0
2011-12-14,0,0,0,0
2011-12-15,0,0,0,0
2011-12-16,0,0,2,0
2011-12-18,2,0,2,2
2011-12-19,0,0,0,0
2011-12-21,2,0,0,0
2011-12-22,2,0,0,0
2011-12-23,0,0,0,0
2011-12-24,4,0,2,0
2011-12-27,2,0,0,0
2011-12-28,4,0,0,0
2011-12-29,0,0,0,0
2011-12-30,0,0,0,0
2017-06-01,6,0,0,0
2017-06-02,0,0,0,0
2017-06-03,6,0,0,0
2017-06-05,0,0,0,6
2017-06-06,0,0,12,6
2017-06-07,6,0,0,0
2017-06-09,0,0,0,0
2017-06-10,0,0,0,6
2017-06-13,0,0,0,6
2017-06-14,0,0,0,0
2017-06-15,6,0,0,0
2017-06-16,18,0,6,6
2017-06-17,0,0,0,0
2017-06-18,6,0,6,0
2017-06-19,0,0,0,0
2017-06-20,0,0,0,0
2017-06-21,0,0,0,0
2017-06-22,0,0,0,0
2017-06-23,6,0,0,6
2017-06-26,0,0,0,12
2017-06-27,0,0,0,12
2017-06-30,6,0,0,6
2017-07-03,3,0,0,0
2017-07-04,0,0,0,0
2017-07-05,0,0,0,0
2017-07-06,3,0,3,3
2017-07-07,0,0,0,0
2017-07-09,3,0,3,3
2017-07-10,3,0,0,0
2017-07-11,3,0,0,3
2017-07-13,0,0,0,3
2017-07-14,0,0,0,0
2017-07-15,0,0,0,3
2017-07-16,0,0,0,0
2017-07-17,0,0,0,3
2017-07-18,0,0,0,3
2017-07-19,0,0,0,6
2017-07-20,3,0,0,3
2017-07-21,0,0,0,6
2017-07-24,0,0,0,0
2017-07-27,0,0,0,0
2017-07-30,0,0,0,0
2017-08-03,0,0,0,0
2017-08-07,9,0,0,9
2017-08-12,9,0,0,0
2017-08-15,9,0,0,0
2017-08-18,9,0,0,0
2017-08-25,18,0,0,0
2017-08-26,27,0,0,9
2017-08-27,18,0,0,9
2017-08-28,81,0,0,18
2017-08-29,126,9,0,9
2017-08-30,54,9,0,9
2017-08-31,18,0,0,9
2017-09-01,21,0,0,0
2017-09-05,42,21,0,0
2017-09-06,21,0,0,0
2017-09-07,21,21,0,21
2017-09-08,21,0,0,0
2017-09-09,21,21,0,0
2017-09-10,63,0,0,0
2017-09-11,105,42,0,63
2017-09-12,63,21,0,21
2017-09-13,0,21,0,0
2017-09-14,7,0,0,0
2017-09-16,42,0,0,0
2017-09-17,42,0,0,0
2017-09-18,42,21,0,0
2017-09-19,105,84,0,21
2017-09-20,42,21,0,0
2017-09-21,42,42,0,0
2017-09-22,63,63,0,21
2017-09-24,21,0,0,0
2017-09-25,21,21,0,0
2017-09-27,21,21,0,0
2017-10-01,12,12,0,0
2017-10-02,24,36,0,0
2017-10-03,12,24,0,0
2017-10-04,12,24,0,0
2017-10-05,0,24,0,0
2017-10-06,24,12,12,12
2017-10-07,12,12,0,0
2017-10-08,12,12,0,12
2017-10-09,0,12,0,0
2017-10-10,0,0,0,0
2017-10-11,12,12,0,0
2017-10-12,12,24,0,0
2017-10-15,24,12,0,0
2017-10-16,24,0,0,0
2017-10-17,0,0,0,0
2017-10-19,12,12,0,0
2017-10-20,12,12,0,0
2017-10-22,0,12,0,0
2017-10-23,12,0,0,0
2017-10-24,0,0,0,0
2017-10-27,12,12,0,0
2017-10-28,24,12,0,0
2017-10-29,0,0,0,0
2017-10-31,12,12,0,0
2017-11-01,6,0,0,0
2017-11-02,0,0,0,6
2017-11-03,6,0,6,6
2017-11-04,0,6,0,0
2017-11-05,0,0,0,0
2017-11-06,0,0,0,0
2017-11-08,0,0,0,6
