date,affect,hurricane,relief,damage
2011-08-23,0,2,0,0
2011-08-24,0,5,0,0
2011-08-25,0,17,0,0
2011-08-26,2,43,0,0
2011-08-27,5,27,0,0
2011-08-28,9,32,0,1
2011-08-29,8,39,0,0
2011-08-30,8,19,0,0
2011-08-31,1,3,1,0
2011-09-01,9,8,0,0
2011-09-02,6,12,1,0
2011-09-03,5,5,0,0
2011-09-04,2,2,0,0
2011-09-05,1,3,0,0
2011-09-06,1,1,0,0
2011-09-07,1,2,0,0
2011-09-08,2,1,1,0
2011-09-09,0,2,0,0
2011-09-10,1,1,0,0
2011-09-11,1,0,0,0
2011-09-12,2,2,0,0
2011-09-13,1,1,0,0
2011-09-14,0,0,0,0
2011-09-15,1,1,0,0
2011-09-16,0,0,0,1
2011-09-17,0,0,0,0
2011-09-18,2,0,0,0
2011-09-19,1,0,0,0
2011-09-20,1,0,2,0
2011-09-21,0,1,2,0
2011-09-22,1,0,0,0
2011-09-23,0,0,0,0
2011-09-24,1,0,0,0
2011-09-25,1,0,0,0
2011-09-26,0,0,1,0
2011-09-28,2,0,0,0
2011-09-29,1,0,0,0
2011-09-30,0,0,0,0
2011-10-01,0,0,0,0
2011-10-02,1,1,0,0
2011-10-03,0,0,0,0
2011-10-04,0,0,0,0
2011-10-06,0,0,0,0
2011-10-09,0,0,0,0
2011-10-10,0,0,0,0
2011-10-13,0,0,0,0
2011-10-14,0,0,0,0
2011-10-17,0,0,0,0
2011-10-18,0,0,0,0
2011-10-21,0,0,0,0
2011-10-22,0,0,0,0
2011-10-24,0,0,0,0
2011-10-28,0,0,0,0
2011-10-29,1,0,0,0
2011-10-30,0,0,0,0
2011-10-31,1,0,0,0
2011-11-04,1,0,0,0
2011-11-05,1,1,0,0
2011-11-07,1,0,0,0
2011-11-08,1,0,0,0
2011-11-09,1,0,0,0
2011-11-10,0,0,0,0
2011-11-13,0,0,0,0
2011-11-15,0,0,0,0
2011-11-16,0,0,0,0
2011-11-17,0,0,0,0
2011-11-18,1,0,0,0
2011-11-20,0,0,0,0
2011-11-21,1,0,0,0
2011-11-29,1,0,0,1
2011-12-01,0,1,0,0
2011-12-02,0,0,0,0
2011-12-03,0,0,0,0
2011-12-06,0,1,0,0
2011-12-14,0,0,0,0
2011-12-16,0,0,0,0
2011-12-19,0,0,0,0
2011-12-23,0,2,0,0
2011-12-25,0,0,0,0
2011-12-30,1,1,0,0
2017-06-06,0,0,0,0
2017-06-23,0,0,0,0
2017-07-20,0,0,0,0
2017-07-21,0,0,0,0
2017-08-17,0,0,0,0
2017-08-23,1,1,0,0
2017-08-24,0,1,0,0
2017-08-25,1,4,0,0
2017-08-26,4,5,0,1
2017-08-27,3,3,0,1
2017-08-28,7,18,0,0
2017-08-29,5,9,0,0
2017-08-30,1,6,1,0
2017-09-01,4,7,1,1
2017-09-02,2,6,0,0
2017-09-03,0,4,0,0
2017-09-04,0,4,3,0
2017-09-05,2,7,0,0
2017-09-06,4,18,0,0
2017-09-07,4,20,0,0
2017-09-08,4,27,1,0
2017-09-09,5,11,1,0
2017-09-10,1,13,0,0
2017-09-11,4,24,0,3
2017-09-12,7,18,0,0
2017-09-13,1,2,0,0
2017-09-14,4,9,0,0
2017-09-15,0,3,0,0
2017-09-16,0,2,0,0
2017-09-17,4,8,0,0
2017-09-18,2,13,0,0
2017-09-19,0,19,0,0
2017-09-20,2,5,0,0
2017-09-21,6,5,2,0
2017-09-22,4,12,0,0
2017-09-23,0,3,0,0
2017-09-24,1,3,2,0
2017-09-25,0,8,0,0
2017-09-26,0,4,0,0
2017-09-27,2,9,5,0
2017-09-28,0,7,2,0
2017-09-29,0,8,1,0
2017-10-01,0,0,0,0
